,time,close,open,high,low,volume,percent,code,sentimentRange
0,2015-01-05,106.25,108.29,108.65,105.41,64.29M,-2.82%,AAPL,1.7367115000000002
1,2015-01-06,106.26,106.54,107.43,104.63,65.80M,0.01%,AAPL,4.19487054
2,2015-01-07,107.75,107.2,108.2,106.69,40.11M,1.40%,AAPL,-1.6939058
3,2015-01-08,111.89,109.23,112.15,108.7,59.36M,3.84%,AAPL,0.32916599999999996
4,2015-01-09,112.01,112.67,113.25,110.21,53.70M,0.11%,AAPL,-4.7118163
5,2015-01-12,109.25,112.6,112.63,108.8,49.65M,-2.46%,AAPL,-1.1372296999999998
6,2015-01-13,110.22,111.43,112.8,108.91,67.09M,0.89%,AAPL,4.1795996
7,2015-01-14,109.8,109.04,110.49,108.5,48.96M,-0.38%,AAPL,-10.0542196
8,2015-01-15,106.82,110.0,110.06,106.66,60.01M,-2.71%,AAPL,1.8982945
9,2015-01-16,105.99,107.03,107.58,105.2,78.51M,-0.78%,AAPL,0.14860249999999975
10,2015-01-20,108.72,107.84,108.87,106.5,49.90M,2.58%,AAPL,3.9442083
11,2015-01-21,109.55,108.95,111.06,108.27,48.58M,0.76%,AAPL,-2.0243559
12,2015-01-22,112.4,110.26,112.47,109.72,53.80M,2.60%,AAPL,-5.136774
13,2015-01-23,112.98,112.3,113.75,111.53,46.46M,0.52%,AAPL,4.1556427000000005
14,2015-01-26,113.1,113.74,114.36,112.8,55.61M,0.11%,AAPL,-0.43941790000000003
15,2015-01-27,109.14,112.42,112.48,109.03,95.57M,-3.50%,AAPL,5.08297469
16,2015-01-28,115.31,117.62,118.12,115.31,146.48M,5.65%,AAPL,19.284128769999995
17,2015-01-29,118.9,116.32,119.19,115.56,84.44M,3.11%,AAPL,4.151180610000001
18,2015-01-30,117.16,118.4,120.0,116.85,83.75M,-1.46%,AAPL,-1.7598886999999999
19,2015-02-02,118.63,118.05,119.17,116.08,62.74M,1.25%,AAPL,4.522197459999999
20,2015-02-03,118.65,118.5,119.09,117.61,51.92M,0.02%,AAPL,-0.6221072000000001
21,2015-02-04,119.56,118.5,120.51,118.31,70.15M,0.77%,AAPL,0.4075658999999998
22,2015-02-05,119.94,120.02,120.23,119.25,42.25M,0.32%,AAPL,0.22206251999999965
23,2015-02-06,118.93,120.02,120.25,118.45,43.71M,-0.84%,AAPL,0.0
24,2015-02-09,119.72,118.55,119.84,118.43,38.89M,0.66%,AAPL,-2.3047269
25,2015-02-10,122.02,120.17,122.15,120.16,62.01M,1.92%,AAPL,2.4421986500000004
26,2015-02-11,124.88,122.77,124.92,122.5,73.56M,2.34%,AAPL,6.9170394
27,2015-02-12,126.46,126.06,127.48,125.57,74.47M,1.27%,AAPL,1.4735865000000001
28,2015-02-13,127.08,127.28,127.28,125.65,54.27M,0.49%,AAPL,0.9887678999999998
29,2015-02-17,127.83,127.49,128.88,126.92,63.15M,0.59%,AAPL,-5.8287855
30,2015-02-18,128.72,127.62,128.78,127.45,44.89M,0.70%,AAPL,-3.2149990000000006
31,2015-02-19,128.45,128.48,129.03,128.33,37.36M,-0.21%,AAPL,-2.948847370000001
32,2015-02-20,129.5,128.62,129.5,128.05,48.95M,0.82%,AAPL,2.2597133
33,2015-02-23,133.0,130.02,133.0,129.66,70.97M,2.70%,AAPL,0.74909654
34,2015-02-24,132.17,132.94,133.6,131.17,69.23M,-0.62%,AAPL,-0.3808291999999995
35,2015-02-25,128.79,131.56,131.6,128.15,74.71M,-2.56%,AAPL,7.136560240000001
36,2015-02-26,130.41,128.78,130.87,126.61,91.29M,1.26%,AAPL,-1.7099866000000004
37,2015-02-27,128.46,130.0,130.57,128.24,62.01M,-1.50%,AAPL,-3.742803499999999
38,2015-03-02,129.09,129.25,130.28,128.3,48.10M,0.49%,AAPL,-3.50099
39,2015-03-03,129.36,128.96,129.52,128.09,37.82M,0.21%,AAPL,-6.823587799999999
40,2015-03-04,128.54,129.1,129.56,128.32,31.67M,-0.63%,AAPL,-3.7643517900000005
41,2015-03-05,126.41,128.58,128.75,125.76,56.52M,-1.66%,AAPL,-1.0116561199999998
42,2015-03-06,126.6,128.4,129.37,126.26,72.84M,0.15%,AAPL,-9.035446899999998
43,2015-03-09,127.14,127.96,129.57,125.06,88.53M,0.43%,AAPL,8.96917345
44,2015-03-10,124.51,126.41,127.22,123.8,68.86M,-2.07%,AAPL,0.520412399999999
45,2015-03-11,122.24,124.75,124.77,122.11,68.94M,-1.82%,AAPL,-9.6953431
46,2015-03-12,124.45,122.31,124.9,121.63,48.36M,1.81%,AAPL,-1.8835614999999994
47,2015-03-13,123.59,124.4,125.4,122.58,51.83M,-0.69%,AAPL,-7.02832815
48,2015-03-16,124.95,123.88,124.95,122.87,35.87M,1.10%,AAPL,-1.017063
49,2015-03-17,127.04,125.9,127.32,125.65,51.02M,1.67%,AAPL,-4.193168870000001
50,2015-03-18,128.47,127.0,129.16,126.37,65.27M,1.13%,AAPL,4.514015
51,2015-03-19,127.5,128.75,129.25,127.4,45.81M,-0.76%,AAPL,-0.10556329999999992
52,2015-03-20,125.9,128.25,128.4,125.16,68.70M,-1.25%,AAPL,4.06179196
53,2015-03-23,127.21,127.12,127.85,126.52,37.71M,1.04%,AAPL,-5.503560899999999
54,2015-03-24,126.69,127.23,128.04,126.56,32.84M,-0.41%,AAPL,-2.3964509999999994
55,2015-03-25,123.38,126.54,126.82,123.38,51.66M,-2.61%,AAPL,2.9620120000000005
56,2015-03-26,124.24,122.76,124.88,122.6,47.57M,0.70%,AAPL,4.690335929999999
57,2015-03-27,123.25,124.57,124.7,122.91,39.55M,-0.80%,AAPL,1.9963351000000005
58,2015-03-30,126.37,124.05,126.4,124.0,47.10M,2.53%,AAPL,-1.3875188999999999
59,2015-03-31,124.43,126.09,126.49,124.36,42.09M,-1.54%,AAPL,0.7819403999999996
