Date,history1,history2,history3,history4
2015-01-05,10046.83468,9959.064725,10101.05807,10101.00608
2015-01-06,9951.496609,9846.227665,10145.50816,10145.58364
2015-01-07,9896.320942,9806.91605,10177.73639,10177.77087
2015-01-08,9980.435906,9974.608214,10012.70936,10012.65598
2015-01-09,10012.8419,10149.67463,10003.83949,10003.80995
2015-01-10,10186.72215,10136.06537,9961.252765,9960.658268
2015-01-11,10280.21732,10154.08036,9914.50436,9914.03436
2015-01-12,10225.33943,10207.04029,9983.358464,9982.944281
2015-01-13,10327.75535,10358.33599,10044.28856,10043.82994
2015-01-14,10287.20158,10364.40055,10269.38885,10269.1166
2015-01-15,10332.06466,10363.99617,10339.25944,10339.2465
2015-01-16,10330.78634,10400.60928,10241.81163,10241.62263
2015-01-17,10336.89515,10416.88427,10185.04674,10184.80056
2015-01-18,10331.96133,10488.47882,10271.34209,10271.12984
2015-01-19,10388.8818,10481.56675,10304.23235,10303.88308
2015-01-20,10357.02648,10381.83451,10483.0827,10483.24678
2015-01-21,10388.65638,10435.43161,10579.5086,10579.61066
2015-01-22,10289.2737,10396.15265,10523.20477,10522.81773
2015-01-23,10325.87924,10288.34471,10629.24428,10628.77957
2015-01-24,10343.96369,10339.82578,10587.20395,10586.74976
2015-01-25,10224.84879,10309.63028,10633.17666,10632.70351
2015-01-26,10200.85482,10314.92962,10631.77521,10631.54529
2015-01-27,10049.89746,10229.31831,10638.32833,10637.60951
2015-01-28,10013.41768,10229.68925,10633.55084,10632.62688
2015-01-29,10120.86964,10097.52797,10692.27525,10691.36617
2015-01-30,10049.16211,10071.6439,10659.86001,10659.07259
2015-01-31,10105.59248,10240.22181,10692.59517,10691.35948
2015-02-01,10204.70611,10234.61256,10590.46958,10588.93571
2015-02-02,10272.78088,10196.75052,10627.09178,10625.88509
2015-02-03,10269.96228,10157.4102,10646.13748,10644.85642
2015-02-04,10261.43767,10186.39475,10523.9251,10522.16305
2015-02-05,10221.43945,10119.16696,10499.25389,10497.41228
2015-02-06,10169.54141,10189.19378,10344.14648,10342.36304
2015-02-07,9986.887928,10109.92595,10307.07781,10305.27107
2015-02-08,9990.069649,10233.60586,10417.43693,10415.53196
2015-02-09,10006.34593,10276.29439,10343.53165,10341.52631
2015-02-10,10063.88146,10249.2672,10400.52523,10399.04811
2015-02-11,10006.61695,10282.43354,10502.83846,10501.3968
2015-02-12,10035.57884,10210.85402,10573.28649,10572.58609
2015-02-13,10100.72209,10012.32591,10570.3546,10569.93557
2015-02-14,10218.63303,9946.346824,10561.72369,10561.38868
2015-02-15,10189.21329,9987.462022,10520.57527,10519.98982
2015-02-16,10295.33302,9974.949245,10466.97067,10466.22637
2015-02-17,10364.18958,9903.093362,10279.08003,10278.22939
2015-02-18,10380.13045,9887.579587,10282.16721,10281.21872
2015-02-19,10329.20323,9695.831288,10299.12056,10298.05451
2015-02-20,10375.86255,9735.628056,10358.45587,10357.17849
2015-02-21,10415.63546,9900.904743,10300.01816,10298.57251
2015-02-22,10336.96517,10023.38979,10330.42848,10328.7802
2015-02-23,10138.21451,10015.7121,10397.71757,10396.06116
2015-02-24,10225.97688,9997.294857,10519.6665,10517.75765
2015-02-25,10282.75927,10060.3571,10489.23486,10487.60854
2015-02-26,10470.03534,10118.99363,10597.89116,10596.78345
2015-02-27,10417.7087,10176.93772,10668.71992,10667.46737
2015-02-28,10503.96193,10142.10808,10685.30378,10683.61543
2015-03-01,10524.92612,10086.06115,10633.06614,10631.26221
2015-03-02,10470.05045,10121.076,10681.08489,10679.29921
2015-03-03,10401.68835,10175.9757,10722.26605,10720.21324
2015-03-04,10256.61378,10053.00688,10641.41803,10639.30633
2015-03-05,10345.43089,10097.3745,10437.08181,10434.75209
2015-03-06,10324.89715,10123.13101,10526.67621,10524.53309
2015-03-07,10208.41293,10114.31676,10585.39621,10583.30022
2015-03-08,10167.34646,10012.78234,10777.19448,10775.22174
