,history
0,10123.683269220219
1,10171.972871820966
2,10225.195975734052
3,10069.583774267194
4,10096.997175879993
5,10032.087742918013
6,9920.195084235385
7,9999.314358119707
8,10037.95135811238
9,10270.638427745078
10,10301.251254708806
11,10217.496140051262
12,10164.683550396878
13,10274.825661918841
14,10302.842758540022
15,10479.371608185003
16,10604.374270516775
17,10526.962248840091
18,10667.902620752411
19,10617.125040220228
20,10642.042241489033
21,10640.441412854672
22,10652.468779566698
23,10642.580097527227
24,10707.370580011859
25,10687.382518578024
26,10672.510004633728
27,10572.541357628641
28,10629.270114050785
29,10649.038203813257
30,10539.653554818091
31,10493.575524976288
32,10355.90120260222
33,10315.094830903321
34,10410.466267180109
35,10356.340126558438
36,10393.931314355512
37,10551.4864740934
38,10612.693689877005
39,10612.367706872701
40,10582.962482716826
41,10544.059869569179
42,10479.283163366734
43,10294.99991519861
44,10303.158584356881
45,10324.982437450866
46,10392.8816606735
47,10330.015136301194
48,10373.683124596526
49,10451.028675977735
50,10601.2314570193
51,10545.230843081576
52,10653.834505966683
53,10740.968632491213
54,10764.257958159997
55,10724.541379757458
56,10785.28748540585
57,10830.48216344103
58,10733.427067804474
59,10523.213868875144
60,10625.776467492065
61,10676.652783236388
62,10822.73578530193
63,10765.548422762255
64,10879.950237150866
65,10917.757535143795
66,10860.374821442852
67,10757.113307398999
68,10619.275474637694
69,10738.761720655688
70,10719.436712193716
71,10561.930516666724
72,10520.05238513783
73,10713.291272298917
74,10848.942963245485
75,10845.649399305616
76,10880.572124335007
77,10950.349987295469
78,11102.734923086244
79,11125.183192718569
80,11109.69605633996
81,11152.437775173445
82,11184.967130047426
83,11286.934339405172
84,11270.95408564975
85,11177.487600176895
86,11215.189583498399
87,11162.013531816801
88,11051.857244272678
89,11105.035402047173
90,11068.498073267494
91,11078.562141183036
92,10992.492689329369
93,10988.384842009373
94,10837.792506898768
95,10796.816580711422
96,10962.571966297843
97,10957.620821490655
98,10919.584214390743
99,10893.32973882843
100,10915.278334455577
101,10837.415036666518
102,10904.389794948833
103,10827.891118311427
104,10974.017342174971
105,11018.931306063121
106,11000.710269135501
107,11052.137945149585
108,10958.230883911097
109,10765.931514745926
110,10664.724083849704
111,10696.851563669452
112,10669.970849858519
113,10581.52658819034
114,10572.35089001989
115,10357.440158131745
116,10399.30155606287
117,10569.852424297284
118,10693.786807519728
119,10667.346284986386
120,10644.586009866025
121,10708.850447853776
122,10775.148628709336
123,10796.432280440586
124,10774.224546967182
125,10707.12188902712
126,10759.418058855286
127,10740.30986300529
128,10611.896854940178
129,10644.150584072942
130,10642.457951450177
131,10620.674741512763
132,10521.411745188112
133,10403.043846489029
134,10346.372182955733
135,10398.829675557623
136,10299.418170713803
137,10335.834386900477
138,10502.328739141885
139,10333.219438701724
140,10209.776711142307
141,10286.843710796918
142,10346.972886110998
143,10373.562352820138
144,10321.207304962325
145,10231.994619763582
146,9959.94432931382
147,9605.759962244496
148,9279.00049072378
149,9418.097507654858
150,9697.246204066718
151,9918.738337785848
152,9916.284572367615
153,9767.228603648111
154,9509.23829421514
155,9687.853790868747
156,9696.171487971655
157,9507.788208740756
158,9569.524447280752
159,9613.186161436228
160,9720.29413288738
161,9802.03233494294
162,9726.90986082406
163,9830.82962530139
164,9952.425974265
165,9889.680977917407
166,9821.280684452031
167,9850.724296513574
168,9755.153230391961
169,9726.78621690893
170,9702.728063503768
171,9682.746663286163
172,9424.165013629894
173,9330.01428857034
174,9514.849535459853
175,9551.45220973937
176,9793.308340797324
177,9921.737945028632
178,9902.846224620776
179,9893.94195783632
180,9927.494108211275
181,10055.301128400228
182,10102.708679078729
183,10059.121713234917
184,9970.865417109757
185,10241.033422229317
186,10290.282956001322
187,10334.610879961132
188,10296.430403623865
189,10278.4888830878
190,10456.992648118427
191,10647.733429397234
192,10634.310584290735
193,10662.734703831511
194,10866.729720685944
195,10810.367209139418
196,10869.965087278939
197,10981.279818176114
198,10995.70708725489
199,11017.617854916212
200,10978.689338320017
201,10915.900818181199
202,10813.252293353506
203,10774.734496226
204,10758.353760343089
205,10680.078360860936
206,10453.086463004744
207,10581.456863063568
208,10535.87769674789
209,10622.728399785328
210,10655.349863005247
211,10724.998525826662
212,10728.9745870593
213,10752.23612998271
214,10717.593355153824
215,10712.581504417529
216,10729.101097380297
217,10758.119460957048
218,10686.3974839433
219,10544.682376978975
220,10745.82306895202
221,10652.873177367908
222,10649.973925212424
223,10490.845009267257
224,10532.502447124301
225,10396.284603099288
226,10473.019625631825
227,10489.8377841428
228,10658.466686085956
229,10546.746324641234
230,10343.865539563187
231,10373.877905482212
232,10466.223700628881
233,10539.265844195821
234,10498.750634069556
235,10431.094147536951
236,10535.454943451245
237,10457.249295299449
238,10367.677687067522
239,10219.748672321564
240,10289.694849193062
241,10036.45335661386
242,9759.506768688247
243,9667.456199329476
244,9738.129863872073
245,9809.704846519366
246,9630.464607020544
247,9741.89386705181
248,9533.72484850695
249,9607.483580579277
250,9442.948989357546
251,9500.343203834926
252,9679.668584653946
253,9507.596439836781
254,9530.754230122497
255,9337.526192193372
256,9206.165701256157
257,9699.68090800467
258,9644.402249522422
259,9437.039376518267
260,9396.339743952074
261,9412.46178027173
262,9112.781604607471
263,8944.512199150053
264,8887.971193011157
265,8929.521240183609
266,8823.94590752329
267,8928.13612427015
268,9250.595926485352
269,9402.95721687869
270,9344.137655024662
271,9347.553266106954
272,9503.924182433217
273,9323.669897740228
274,9359.358426664587
275,9421.11002533004
276,9447.099472840096
277,9450.177231902871
278,9428.253598479023
279,9673.606417881872
280,9723.41450910976
281,9715.370342987184
282,9826.740633852602
283,9823.30214550735
284,9675.524530935661
285,9806.185363972807
286,9817.06602965155
287,9999.213154444726
288,10007.381242721696
289,10008.047154814878
290,10180.49142510763
291,10285.869861450403
292,10436.663516673128
293,10482.572975875984
294,10485.109342891905
295,10365.497950561385
296,10337.25583554988
297,10348.551967836394
298,10508.680083705296
299,10548.739926062444
300,10536.966169260204
301,10512.819283735424
302,10587.342761074025
303,10514.479500142053
304,10612.763095144195
305,10457.027056115645
306,10525.450513398646
307,10587.065971012498
308,10707.108935154987
309,10822.131006197707
310,10782.096957914226
311,10663.157218693208
312,10634.667671192925
313,10656.711620239541
314,10797.146219966267
315,10646.50546289855
316,10599.86084685308
317,10507.394144850316
318,10499.914929419097
319,10318.118322598755
320,10068.779905899677
321,10058.32000331635
322,10113.602332718301
323,10052.419726315342
324,9991.077887318783
325,10072.040519786151
326,10077.828713121278
327,10096.235986451084
328,10229.177876580377
329,10184.619657186591
330,10224.66038536953
331,10199.732266164328
332,10377.18861234881
333,10307.077255825572
334,10407.903741032338
335,10310.035576190045
336,10393.896667051893
337,10406.916762871193
338,10684.13605097477
339,10579.987678755986
340,10680.832675922218
341,10764.47516528739
342,10754.608147319583
343,10596.756712836388
344,10610.586209402172
345,10561.398669985827
346,10689.213091089547
347,10685.503061703785
348,10702.865294621763
349,10672.537276145074
350,10533.737718244476
351,10447.521289624605
352,10526.600624107119
353,10562.406968734682
354,10559.431075567154
355,10448.371357598957
356,10573.642507680755
357,10681.464380018924
